Name;Code;Week_lifted;Neighboring
Andover;00090000;2;3
Belmont;00260000;2;3
Boston;00350000;4;1
Braintree;00400000;1;3
Brookline;00460000;3;2
Burlington;00480000;1;3
Cambridge;00490000;3;2
Canton;00500000;1;2
Carlisle;00510000;1;3
Chelsea;00570000;4;1
Cohasset;00650000;1;3
Concord;00670000;2;3
Dedham;00730000;1;2
Dover;00780000;1;3
Everett;00930000;1;2
Foxborough;00990000;1;3
Franklin;01010000;1;3
Hanover;01220000;1;3
Hingham;01310000;1;3
Holbrook;01330000;1;3
Hull;01420000;1;3
Lexington;01550000;2;3
Lincoln;01570000;3;3
Lynnfield;01640000;1;3
Malden;01650000;2;3
Mansfield;01670000;1;3
Marshfield;01710000;1;3
Maynard;01740000;1;3
Medfield;01750000;1;3
Medford;01760000;3;3
Medway;01770000;1;3
Melrose;01780000;2;3
Millis;01870000;1;3
Milton;01890000;2;2
Needham;01990000;2;2
Newton;02070000;2;2
Norfolk;02080000;1;3
North Reading;02170000;1;3
Norwell;02190000;1;3
Norwood;02200000;1;3
Quincy;02430000;1;2
Randolph;02440000;3;3
Reading;02460000;1;3
Revere;02480000;3;2
Rockland;02510000;1;3
Saugus;02620000;1;3
Sharon;02660000;2;3
Somerville;02740000;3;2
Stoneham;02840000;2;3
Stoughton;02850000;1;3
Sudbury;02880000;2;3
Wakefield;03050000;2;3
Walpole;03070000;1;3
Waltham;03080000;1;3
Wayland;03150000;2;3
Wellesley;03170000;1;3
Westwood;03350000;1;3
Weymouth;03360000;1;3
Wilmington;03420000;1;3
Winchester;03440000;1;3
Winthrop;03460000;1;2
Woburn;03470000;1;3
Wrentham;03500000;1;3
Acton-Boxborough;06000000;1;3
Ayer Shirley School District;06160000;2;3
Concord-Carlisle;06400000;2;3
Dover-Sherborn;06550000;1;3
Groton-Dunstable;06730000;1;3
King Philip;06900000;1;3
Lincoln-Sudbury;06950000;2;3
Nashoba;07250000;1;3
Whitman-Hanson;07800000;1;3
Arlington;00100000;-1;3
Bedford;00230000;-1;3
Harvard;01250000;-1;3
Scituate;02640000;-1;3
Sherborn;02690000;-1;3
Weston;03300000;-1;3
Watertown;03140000;-1;2
